age,weight
21,609156
22,601596
23,597393
24,604252
25,620970
26,616040
27,620968
28,617578
29,619285
30,616701
31,622620
32,632842
33,658435
34,655322
35,667962
36,665014
37,680688
38,667119
39,668854
40,688293
41,699427
42,710624
43,733422
44,736265
45,753466
46,774871
47,814541
48,839292
49,873768
50,913500
51,948616
52,941816
53,949330
54,956548
55,945818
56,968900
57,959289
58,960851
59,967832
60,962179
61,971673
62,907899
63,873184
64,851117
65,820389
66,794674
67,754207
68,741144
69,720654
70,702033
71,684554
72,646176
73,628019
74,618081
75,630573
