gender,cohort,name,ascii_atom,weight
female,1950-1964,Ada,ada,2
female,1950-1964,Adelaide,adelaide,1
female,1950-1964,Adele,adele,2
female,1950-1964,Adriana,adriana,2
female,1950-1964,Alessandra,alessandra,2
female,1950-1964,Alida,alida,1
female,1950-1964,Angela,angela,4
female,1950-1964,Anita,anita,1
female,1950-1964,Anna,anna,4
female,1950-1964,Antonietta,antonietta,1
female,1950-1964,Assunta,assunta,2
female,1950-1964,Barbara,barbara,2
female,1950-1964,Bruna,bruna,1
female,1950-1964,Carla,carla,4
female,1950-1964,Carmela,carmela,2
female,1950-1964,Caterina,caterina,2
female,1950-1964,Cecilia,cecilia,1
female,1950-1964,Cinzia,cinzia,1
female,1950-1964,Clara,clara,2
female,1950-1964,Claudia,claudia,2
female,1950-1964,Clotilde,clotilde,1
female,1950-1964,Concetta,concetta,2
female,1950-1964,Cristina,cristina,2
female,1950-1964,Daniela,daniela,4
female,1950-1964,Donatella,donatella,2
female,1950-1964,Elena,elena,2
female,1950-1964,Elisabetta,elisabetta,2
female,1950-1964,Elsa,elsa,2
female,1950-1964,Emanuela,emanuela,1
female,1950-1964,Enrica,enrica,2
female,1950-1964,Fernanda,fernanda,2
female,1950-1964,Fiorella,fiorella,1
female,1950-1964,Flora,flora,1
female,1950-1964,Franca,franca,2
female,1950-1964,Gabriella,gabriella,4
female,1950-1964,Gemma,gemma,1
female,1950-1964,Gina,gina,2
female,1950-1964,Giovanna,giovanna,4
female,1950-1964,Giuliana,giuliana,2
female,1950-1964,Giuseppina,giuseppina,4
female,1950-1964,Graziella,graziella,1
female,1950-1964,Ida,ida,1
female,1950-1964,Ines,ines,2
female,1950-1964,Irene,irene,2
female,1950-1964,Laura,laura,4
female,1950-1964,Lidia,lidia,2
female,1950-1964,Liliana,liliana,2
female,1950-1964,Lina,lina,2
female,1950-1964,Loredana,loredana,4
female,1950-1964,Lucia,lucia,4
female,1950-1964,Luciana,luciana,2
female,1950-1964,Luisa,luisa,2
female,1950-1964,Manuela,manuela,1
female,1950-1964,Margherita,margherita,1
female,1950-1964,Maria,maria,4
female,1950-1964,Marina,marina,4
female,1950-1964,Marisa,marisa,1
female,1950-1964,Milena,milena,2
female,1950-1964,Mirella,mirella,2
female,1950-1964,Monica,monica,2
female,1950-1964,Nadia,nadia,2
female,1950-1964,Ornella,ornella,4
female,1950-1964,Paola,paola,4
female,1950-1964,Patrizia,patrizia,4
female,1950-1964,Pia,pia,1
female,1950-1964,Piera,piera,1
female,1950-1964,Renata,renata,2
female,1950-1964,Rina,rina,2
female,1950-1964,Rita,rita,4
female,1950-1964,Roberta,roberta,2
female,1950-1964,Rosa,rosa,4
female,1950-1964,Rosanna,rosanna,4
female,1950-1964,Rossana,rossana,2
female,1950-1964,Sandra,sandra,2
female,1950-1964,Silvana,silvana,4
female,1950-1964,Simonetta,simonetta,2
female,1950-1964,Stefania,stefania,2
female,1950-1964,Teresa,teresa,4
female,1950-1964,Tiziana,tiziana,1
female,1950-1964,Valeria,valeria,2
female,1965-1979,Adriana,adriana,2
female,1965-1979,Alba,alba,1
female,1965-1979,Alessandra,alessandra,2
female,1965-1979,Alessia,alessia,1
female,1965-1979,Angelica,angelica,1
female,1965-1979,Anna,anna,4
female,1965-1979,Antonella,antonella,2
female,1965-1979,Antonietta,antonietta,2
female,1965-1979,Assunta,assunta,1
female,1965-1979,Barbara,barbara,4
female,1965-1979,Beatrice,beatrice,1
female,1965-1979,Bruna,bruna,2
female,1965-1979,Carla,carla,4
female,1965-1979,Caterina,caterina,2
female,1965-1979,Cinzia,cinzia,2
female,1965-1979,Claudia,claudia,2
female,1965-1979,Clotilde,clotilde,1
female,1965-1979,Cristina,cristina,4
female,1965-1979,Daniela,daniela,4
female,1965-1979,Donatella,donatella,2
female,1965-1979,Elena,elena,2
female,1965-1979,Elide,elide,1
female,1965-1979,Elisabetta,elisabetta,2
female,1965-1979,Emanuela,emanuela,2
female,1965-1979,Enrica,enrica,2
female,1965-1979,Fiorella,fiorella,2
female,1965-1979,Flavia,flavia,1
female,1965-1979,Franca,franca,2
female,1965-1979,Fulvia,fulvia,1
female,1965-1979,Gabriella,gabriella,4
female,1965-1979,Gaia,gaia,1
female,1965-1979,Giovanna,giovanna,4
female,1965-1979,Giuditta,giuditta,1
female,1965-1979,Giuliana,giuliana,2
female,1965-1979,Graziella,graziella,2
female,1965-1979,Laura,laura,4
female,1965-1979,Leda,leda,1
female,1965-1979,Lidia,lidia,2
female,1965-1979,Liliana,liliana,2
female,1965-1979,Lucia,lucia,2
female,1965-1979,Luciana,luciana,2
female,1965-1979,Ludovica,ludovica,1
female,1965-1979,Luisa,luisa,2
female,1965-1979,Manuela,manuela,1
female,1965-1979,Margherita,margherita,2
female,1965-1979,Maria,maria,4
female,1965-1979,Marina,marina,2
female,1965-1979,Marisa,marisa,2
female,1965-1979,Milena,milena,2
female,1965-1979,Mirella,mirella,2
female,1965-1979,Monica,monica,4
female,1965-1979,Nadia,nadia,2
female,1965-1979,Nicoletta,nicoletta,2
female,1965-1979,Noemi,noemi,1
female,1965-1979,Ornella,ornella,2
female,1965-1979,Paola,paola,4
female,1965-1979,Patrizia,patrizia,4
female,1965-1979,Renata,renata,2
female,1965-1979,Rina,rina,1
female,1965-1979,Rita,rita,2
female,1965-1979,Roberta,roberta,4
female,1965-1979,Romina,romina,1
female,1965-1979,Rosa,rosa,2
female,1965-1979,Rosanna,rosanna,2
female,1965-1979,Rossana,rossana,1
female,1965-1979,Sabrina,sabrina,4
female,1965-1979,Sandra,sandra,4
female,1965-1979,Sara,sara,1
female,1965-1979,Silvia,silvia,4
female,1965-1979,Simona,simona,4
female,1965-1979,Simonetta,simonetta,2
female,1965-1979,Stefania,stefania,4
female,1965-1979,Susanna,susanna,2
female,1965-1979,Teresa,teresa,2
female,1965-1979,Tiziana,tiziana,4
female,1965-1979,Valentina,valentina,2
female,1965-1979,Valeria,valeria,4
female,1965-1979,Veronica,veronica,2
female,1965-1979,Viviana,viviana,2
female,1965-1979,Wilma,wilma,1
female,1980-1989,Adelina,adelina,1
female,1980-1989,Alessandra,alessandra,4
female,1980-1989,Alessia,alessia,4
female,1980-1989,Alice,alice,2
female,1980-1989,Antonella,antonella,2
female,1980-1989,Arianna,arianna,2
female,1980-1989,Ausilia,ausilia,1
female,1980-1989,Barbara,barbara,4
female,1980-1989,Beatrice,beatrice,1
female,1980-1989,Bianca,bianca,1
female,1980-1989,Camilla,camilla,2
female,1980-1989,Carla,carla,2
female,1980-1989,Carlotta,carlotta,1
female,1980-1989,Caterina,caterina,2
female,1980-1989,Cecilia,cecilia,1
female,1980-1989,Chiara,chiara,4
female,1980-1989,Cinzia,cinzia,2
female,1980-1989,Claudia,claudia,4
female,1980-1989,Costanza,costanza,1
female,1980-1989,Cristina,cristina,4
female,1980-1989,Daniela,daniela,4
female,1980-1989,Debora,debora,2
female,1980-1989,Diana,diana,2
female,1980-1989,Donatella,donatella,2
female,1980-1989,Dora,dora,1
female,1980-1989,Elena,elena,2
female,1980-1989,Eleonora,eleonora,2
female,1980-1989,Elisa,elisa,4
female,1980-1989,Elisabetta,elisabetta,2
female,1980-1989,Emanuela,emanuela,2
female,1980-1989,Emma,emma,1
female,1980-1989,Erica,erica,2
female,1980-1989,Ester,ester,1
female,1980-1989,Fabiana,fabiana,2
female,1980-1989,Fabiola,fabiola,2
female,1980-1989,Federica,federica,4
female,1980-1989,Fiorella,fiorella,2
female,1980-1989,Flavia,flavia,2
female,1980-1989,Francesca,francesca,4
female,1980-1989,Gabriella,gabriella,2
female,1980-1989,Giada,giada,2
female,1980-1989,Gianna,gianna,1
female,1980-1989,Giorgia,giorgia,4
female,1980-1989,Giovanna,giovanna,2
female,1980-1989,Giuditta,giuditta,1
female,1980-1989,Giulia,giulia,2
female,1980-1989,Giuliana,giuliana,2
female,1980-1989,Ilaria,ilaria,2
female,1980-1989,Iolanda,iolanda,1
female,1980-1989,Irene,irene,2
female,1980-1989,Isabella,isabella,2
female,1980-1989,Lara,lara,2
female,1980-1989,Laura,laura,4
female,1980-1989,Letizia,letizia,2
female,1980-1989,Lina,lina,1
female,1980-1989,Luisa,luisa,2
female,1980-1989,Manuela,manuela,1
female,1980-1989,Margherita,margherita,2
female,1980-1989,Marina,marina,2
female,1980-1989,Martina,martina,4
female,1980-1989,Michela,michela,4
female,1980-1989,Mirella,mirella,1
female,1980-1989,Monica,monica,4
female,1980-1989,Nadia,nadia,2
female,1980-1989,Nora,nora,1
female,1980-1989,Patrizia,patrizia,1
female,1980-1989,Raffaella,raffaella,2
female,1980-1989,Roberta,roberta,2
female,1980-1989,Romina,romina,1
female,1980-1989,Sabrina,sabrina,2
female,1980-1989,Samantha,samantha,1
female,1980-1989,Sandra,sandra,2
female,1980-1989,Sara,sara,4
female,1980-1989,Serena,serena,2
female,1980-1989,Silvia,silvia,4
female,1980-1989,Simona,simona,4
female,1980-1989,Stefania,stefania,4
female,1980-1989,Tiziana,tiziana,2
female,1980-1989,Valentina,valentina,4
female,1980-1989,Veronica,veronica,2
female,1990-1999,Adelaide,adelaide,1
female,1990-1999,Adele,adele,1
female,1990-1999,Agostina,agostina,1
female,1990-1999,Alba,alba,1
female,1990-1999,Alberta,alberta,1
female,1990-1999,Alessandra,alessandra,2
female,1990-1999,Alessia,alessia,4
female,1990-1999,Alice,alice,4
female,1990-1999,Alma,alma,1
female,1990-1999,Angelica,angelica,2
female,1990-1999,Anna,anna,2
female,1990-1999,Anna Maria,anna-maria,1
female,1990-1999,Arianna,arianna,2
female,1990-1999,Asia,asia,1
female,1990-1999,Aurora,aurora,4
female,1990-1999,Barbara,barbara,2
female,1990-1999,Beatrice,beatrice,2
female,1990-1999,Benedetta,benedetta,2
female,1990-1999,Camilla,camilla,2
female,1990-1999,Carlotta,carlotta,2
female,1990-1999,Caterina,caterina,2
female,1990-1999,Cecilia,cecilia,1
female,1990-1999,Chiara,chiara,4
female,1990-1999,Claudia,claudia,2
female,1990-1999,Costanza,costanza,1
female,1990-1999,Cristina,cristina,2
female,1990-1999,Debora,debora,2
female,1990-1999,Diana,diana,2
female,1990-1999,Elena,elena,2
female,1990-1999,Eleonora,eleonora,4
female,1990-1999,Elisa,elisa,4
female,1990-1999,Elisabetta,elisabetta,2
female,1990-1999,Emanuela,emanuela,2
female,1990-1999,Enrica,enrica,1
female,1990-1999,Erica,erica,2
female,1990-1999,Fabiana,fabiana,2
female,1990-1999,Fabiola,fabiola,2
female,1990-1999,Federica,federica,4
female,1990-1999,Fedora,fedora,1
female,1990-1999,Francesca,francesca,4
female,1990-1999,Gabriella,gabriella,2
female,1990-1999,Gaia,gaia,4
female,1990-1999,Giada,giada,2
female,1990-1999,Giorgia,giorgia,4
female,1990-1999,Giulia,giulia,4
female,1990-1999,Greta,greta,2
female,1990-1999,Ilaria,ilaria,4
female,1990-1999,Irene,irene,2
female,1990-1999,Isabella,isabella,2
female,1990-1999,Lara,lara,2
female,1990-1999,Leda,leda,1
female,1990-1999,Letizia,letizia,2
female,1990-1999,Lisa,lisa,2
female,1990-1999,Livia,livia,1
female,1990-1999,Lucia,lucia,2
female,1990-1999,Luisa,luisa,2
female,1990-1999,Mafalda,mafalda,1
female,1990-1999,Manuela,manuela,1
female,1990-1999,Margherita,margherita,2
female,1990-1999,Marianna,marianna,2
female,1990-1999,Mariella,mariella,1
female,1990-1999,Martina,martina,4
female,1990-1999,Michela,michela,2
female,1990-1999,Micol,micol,1
female,1990-1999,Mirella,mirella,1
female,1990-1999,Nicoletta,nicoletta,1
female,1990-1999,Noemi,noemi,2
female,1990-1999,Raffaella,raffaella,2
female,1990-1999,Rebecca,rebecca,2
female,1990-1999,Roberta,roberta,2
female,1990-1999,Sabrina,sabrina,2
female,1990-1999,Samantha,samantha,2
female,1990-1999,Sara,sara,4
female,1990-1999,Serena,serena,4
female,1990-1999,Silvia,silvia,4
female,1990-1999,Simona,simona,4
female,1990-1999,Sofia,sofia,4
female,1990-1999,Valentina,valentina,4
female,1990-1999,Valeria,valeria,2
female,1990-1999,Veronica,veronica,4
female,2000-2005,Agostina,agostina,1
female,2000-2005,Alessia,alessia,4
female,2000-2005,Alice,alice,4
female,2000-2005,Angela,angela,1
female,2000-2005,Angelica,angelica,2
female,2000-2005,Anna,anna,4
female,2000-2005,Arianna,arianna,4
female,2000-2005,Asia,asia,2
female,2000-2005,Assunta,assunta,1
female,2000-2005,Aurora,aurora,4
female,2000-2005,Ausilia,ausilia,1
female,2000-2005,Azzurra,azzurra,2
female,2000-2005,Beatrice,beatrice,4
female,2000-2005,Benedetta,benedetta,2
female,2000-2005,Bianca,bianca,1
female,2000-2005,Camilla,camilla,4
female,2000-2005,Carlotta,carlotta,2
female,2000-2005,Caterina,caterina,2
female,2000-2005,Cecilia,cecilia,2
female,2000-2005,Chiara,chiara,4
female,2000-2005,Clara,clara,2
female,2000-2005,Claudia,claudia,2
female,2000-2005,Clotilde,clotilde,1
female,2000-2005,Concetta,concetta,1
female,2000-2005,Diana,diana,1
female,2000-2005,Domenica,domenica,1
female,2000-2005,Elena,elena,2
female,2000-2005,Eleonora,eleonora,4
female,2000-2005,Elisa,elisa,4
female,2000-2005,Elisabetta,elisabetta,2
female,2000-2005,Emma,emma,4
female,2000-2005,Erica,erica,2
female,2000-2005,Ester,ester,2
female,2000-2005,Eva,eva,2
female,2000-2005,Federica,federica,4
female,2000-2005,Flavia,flavia,2
female,2000-2005,Flora,flora,1
female,2000-2005,Francesca,francesca,4
female,2000-2005,Fulvia,fulvia,1
female,2000-2005,Gaia,gaia,4
female,2000-2005,Giada,giada,2
female,2000-2005,Giorgia,giorgia,4
female,2000-2005,Giulia,giulia,4
female,2000-2005,Greta,greta,2
female,2000-2005,Ilaria,ilaria,2
female,2000-2005,Irene,irene,2
female,2000-2005,Isabella,isabella,2
female,2000-2005,Lara,lara,2
female,2000-2005,Leda,leda,1
female,2000-2005,Letizia,letizia,2
female,2000-2005,Lisa,lisa,2
female,2000-2005,Lucrezia,lucrezia,2
female,2000-2005,Ludovica,ludovica,2
female,2000-2005,Maddalena,maddalena,2
female,2000-2005,Mara,mara,1
female,2000-2005,Margherita,margherita,2
female,2000-2005,Maria,maria,2
