name,ascii_atom,weight
Abate,abate,2
Abbate,abbate,2
Accardi,accardi,1
Acerbi,acerbi,2
Adami,adami,2
Affinito,affinito,1
Aglietti,aglietti,1
Agostini,agostini,2
Albanese,albanese,2
Alberti,alberti,2
Albini,albini,2
Alessi,alessi,1
Alfano,alfano,2
Allasia,allasia,1
Allegri,allegri,1
Aloisi,aloisi,2
Altieri,altieri,2
Amadori,amadori,2
Amato,amato,4
Ambrosi,ambrosi,1
Ambrosini,ambrosini,2
Amendola,amendola,2
Amici,amici,1
Amoroso,amoroso,1
Andreoli,andreoli,2
Angeli,angeli,1
Angelini,angelini,4
Annunziata,annunziata,1
Anselmi,anselmi,1
Antonelli,antonelli,4
Antonini,antonini,2
Arduini,arduini,2
Arena,arena,2
Argiolas,argiolas,2
Arienti,arienti,2
Armellini,armellini,2
Arpino,arpino,1
Arrighi,arrighi,1
Ascari,ascari,2
Auricchio,auricchio,2
Avallone,avallone,1
Baccaro,baccaro,1
Bacchini,bacchini,1
Baglieri,baglieri,2
Bagnasco,bagnasco,1
Baio,baio,1
Balboni,balboni,1
Baldi,baldi,1
Baldini,baldini,2
Balestra,balestra,1
Balestri,balestri,2
Ballardini,ballardini,2
Bandiera,bandiera,1
Bandini,bandini,1
Baraldi,baraldi,1
Barbagallo,barbagallo,1
Barbato,barbato,2
Barbera,barbera,2
Barbieri,barbieri,2
Barile,barile,1
Barison,barison,2
Barletta,barletta,1
Barone,barone,2
Baroni,baroni,2
Bartoli,bartoli,1
Bartolini,bartolini,2
Basile,basile,2
Bassi,bassi,2
Basso,basso,4
Battaglia,battaglia,4
Battistini,battistini,1
Bellandi,bellandi,2
Bellini,bellini,2
Bellocchio,bellocchio,1
Bellomo,bellomo,1
Bellon,bellon,2
Bellotti,bellotti,2
Bellucci,bellucci,4
Benassi,benassi,1
Benedetti,benedetti,4
Benetti,benetti,2
Benincasa,benincasa,2
Benvenuti,benvenuti,2
Berardi,berardi,1
Beretta,beretta,2
Bergamaschi,bergamaschi,1
Bernardi,bernardi,4
Bernardini,bernardini,2
Bernasconi,bernasconi,1
Bertani,bertani,2
Bertini,bertini,2
