istat_code,postal_codes,reason
001235,10010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
001317,10010;10039,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
001318,10080,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
002170,13026,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
002171,13024,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
003166,28013,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
004051,12050,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
004063,12050,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
005014,14031,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
005020,14032,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
005056,14031,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
005077,14030,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
005122,14027,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
006045,15051,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
006076,15043,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
006113,15020,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
006192,15040,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
006193,15040,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
008003,18020,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
008023,18023,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
008055,18038,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
008068,18010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
012143,21062,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
012144,21020,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
013249,22015,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
013253,22014,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
013254,22028,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
013255,22070,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
013256,22029,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
015251,20080,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
016215,23806,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
017092,25017,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
017158,25080,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
017189,25010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
018026,27040,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
018073,27052,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
018122,27055,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
018192,27014,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
018193,27061,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
019116,26034,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
020057,46030,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
020061,46028,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
020072,46020;46036,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
020073,46020,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
021052,39035,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
021053,39040,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
021076,39040,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
021085,39047,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
021102,39040,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022029,38080,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022035,38060,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022106,38020,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022156,38050,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022162,38010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022176,38030,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022233,38020;38025,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022234,38085,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022235,38092,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022236,38049,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022237,38011,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022238,38083,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022239,38079,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022240,38059,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022241,38034,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022242,38010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022244,38080;38094,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022245,38054,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022246,38087,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022247,38070,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022248,38070,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022249,38019,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022250,38036;38039,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022251,38097,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022252,38013,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022253,38028,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
022254,38099,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
023014,37010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
023030,37010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
023052,37024,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
024079,36026,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
024123,36040,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
024124,36048,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
024125,36020,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
024126,36064,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
024127,36046,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
025072,32010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
025073,32010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
025074,32026,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
025075,32038,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
026096,31017,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
027019,30016,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
027036,30029,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
028107,35046,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
028108,35040,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
030090,33010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
030138,33040,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
030189,33012,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
030190,33050,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
030191,33014,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
033049,29010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
034050,43010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
034051,43058,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
035033,42120;42121;42122;42123;42124,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
035046,42032,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
037062,40046,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
038028,44047,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
038029,44033,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
038030,44039,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
041035,61010,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
041041,61049,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
041069,61030,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
041070,61038,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
041071,61028,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
043058,62035,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
047023,51024,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
047024,51028,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
048054,50028,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
049021,57038,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
051042,52020,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
054002,06083,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
058060,00040,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
065025,84047,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
068033,65026,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
075096,73030,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
075098,73040;73054,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
078029,87011,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
078156,87050,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
078157,87064;87067,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
080053,89064,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
080063,89100;89112;89121;89122;89123;89124;89125;89126;89127;89128;89129;89131;89132;89133;89135,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
081025,91131,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
082025,90030,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
083100,98060,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
096087,13854,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
096088,13813;13835,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
097093,23836,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
098062,26844,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
099029,47854,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
099030,61014,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
099031,47869,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
103078,28846,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
103079,28825,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
113021,08020,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
114045,08030,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
116023,08037,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
118018,08030,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
119024,09019,IPA Enti exact Codice_comune_ISTAT; CAP observed; completeness not claimed
